Date,High,Low
2005-12-06,1272.8900146484375,1262.0899658203125
2005-12-07,1264.8499755859375,1253.02001953125
2005-12-08,1263.3599853515625,1250.9100341796875
2005-12-09,1263.0799560546875,1254.239990234375
2005-12-12,1263.8599853515625,1255.52001953125
2005-12-13,1272.1099853515625,1258.56005859375
2005-12-14,1275.800048828125,1267.0699462890625
2005-12-15,1275.1700439453125,1267.739990234375
2005-12-16,1275.239990234375,1267.3199462890625
2005-12-19,1270.510009765625,1259.280029296875
2005-12-20,1263.8599853515625,1257.2099609375
2005-12-21,1269.3699951171875,1259.6199951171875
2005-12-22,1268.18994140625,1262.5
2005-12-23,1269.760009765625,1265.9200439453125
2005-12-27,1271.8299560546875,1256.5400390625
2005-12-28,1261.0999755859375,1256.5400390625
2005-12-29,1260.6099853515625,1254.1800537109375
2005-12-30,1254.4200439453125,1246.5899658203125
2006-01-03,1270.219970703125,1245.739990234375
2006-01-04,1275.3699951171875,1267.739990234375
2006-01-05,1276.9100341796875,1270.300048828125
2006-01-06,1286.0899658203125,1273.47998046875
2006-01-09,1290.780029296875,1284.8199462890625
2006-01-10,1290.1500244140625,1283.760009765625
2006-01-11,1294.9000244140625,1288.1199951171875
2006-01-12,1294.1800537109375,1285.0400390625
2006-01-13,1288.9599609375,1282.780029296875
2006-01-17,1287.6099853515625,1278.6099853515625
2006-01-18,1282.9300537109375,1272.0799560546875
2006-01-19,1287.7900390625,1277.9300537109375
2006-01-20,1285.0400390625,1260.9200439453125
2006-01-23,1268.18994140625,1261.489990234375
2006-01-24,1271.469970703125,1263.8199462890625
2006-01-25,1271.8699951171875,1259.4200439453125
2006-01-26,1276.43994140625,1264.6800537109375
2006-01-27,1286.3800048828125,1273.8299560546875
2006-01-30,1287.93994140625,1283.510009765625
2006-01-31,1285.199951171875,1276.8499755859375
2006-02-01,1283.3299560546875,1277.5699462890625
2006-02-02,1282.4599609375,1267.719970703125
2006-02-03,1270.8699951171875,1261.02001953125
2006-02-06,1267.0400390625,1261.6199951171875
2006-02-07,1265.780029296875,1253.6099853515625
2006-02-08,1266.469970703125,1254.780029296875
2006-02-09,1274.56005859375,1262.800048828125
2006-02-10,1269.8900146484375,1254.97998046875
2006-02-13,1266.989990234375,1258.3399658203125
2006-02-14,1278.2099609375,1260.800048828125
2006-02-15,1281.0,1271.06005859375
2006-02-16,1289.3900146484375,1280.0
2006-02-17,1289.469970703125,1284.0699462890625
2006-02-21,1291.9200439453125,1281.3299560546875
2006-02-22,1294.1700439453125,1283.030029296875
2006-02-23,1293.8399658203125,1285.1400146484375
2006-02-24,1292.1099853515625,1285.6199951171875
2006-02-27,1297.5699462890625,1289.4300537109375
2006-02-28,1294.1199951171875,1278.6600341796875
2006-03-01,1291.800048828125,1280.6600341796875
2006-03-02,1291.239990234375,1283.2099609375
2006-03-03,1297.3299560546875,1284.199951171875
2006-03-06,1288.22998046875,1275.6700439453125
2006-03-07,1278.260009765625,1271.1099853515625
2006-03-08,1280.3299560546875,1268.4200439453125
2006-03-09,1282.739990234375,1272.22998046875
2006-03-10,1284.3699951171875,1271.1099853515625
2006-03-13,1287.3699951171875,1281.5799560546875
2006-03-14,1298.1400146484375,1282.6700439453125
2006-03-15,1304.4000244140625,1294.969970703125
2006-03-16,1310.449951171875,1303.02001953125
2006-03-17,1309.7900390625,1305.3199462890625
2006-03-20,1310.0,1303.5899658203125
2006-03-21,1310.8800048828125,1295.8199462890625
2006-03-22,1305.969970703125,1295.81005859375
2006-03-23,1305.0400390625,1298.1099853515625
2006-03-24,1306.530029296875,1298.8900146484375
2006-03-27,1303.739990234375,1299.0899658203125
2006-03-28,1306.239990234375,1291.8399658203125
2006-03-29,1305.5999755859375,1293.22998046875
2006-03-30,1310.1500244140625,1296.719970703125
2006-03-31,1303.0,1294.8699951171875
2006-04-03,1309.18994140625,1296.6500244140625
2006-04-04,1307.550048828125,1294.7099609375
2006-04-05,1312.81005859375,1304.8199462890625
2006-04-06,1311.989990234375,1302.43994140625
2006-04-07,1314.0699462890625,1294.1800537109375
2006-04-10,1300.739990234375,1293.1700439453125
2006-04-11,1300.7099609375,1282.9599609375
2006-04-12,1290.9300537109375,1286.449951171875
2006-04-13,1292.0899658203125,1283.3699951171875
2006-04-17,1292.449951171875,1280.739990234375
2006-04-18,1309.02001953125,1285.3299560546875
2006-04-19,1310.3900146484375,1302.7900390625
2006-04-20,1318.1600341796875,1306.3800048828125
2006-04-21,1317.6700439453125,1306.5899658203125
2006-04-24,1311.280029296875,1303.7900390625
2006-04-25,1310.7900390625,1299.1700439453125
